epoch,train_loss,val_loss,train_acc,val_acc
1,0.6942321831703187,1.1850699458116838,75.15,67.87777777777778
2,0.4884756682395935,1.1587685882556285,81.65,70.0
3,0.4256458396911621,1.2532562314385627,83.98,71.32222222222222
4,0.3896096829175949,1.1599608075690144,85.5,73.15555555555555
5,0.3729984805822372,1.3342738807328238,85.81,70.96666666666667
6,0.3463060200691223,1.1255288652781812,86.51,73.75555555555556
7,0.33812827088832853,1.0787588020811478,87.27,73.27777777777777
8,0.3219979594707489,1.3073384964673056,87.75,70.24444444444444
9,0.30856441638469695,1.2247715529476344,88.04,73.14444444444445
10,0.2934370061278343,1.3039187477267113,88.76,73.54444444444445
11,0.2786246055722237,1.2357399170739098,89.19,70.17777777777778
12,0.2691919122219086,1.0172650993757428,89.53,73.68888888888888
13,0.26196143827438356,1.20446268553799,89.7,70.94444444444444
14,0.26023896692991255,1.3491723458602534,89.74,73.24444444444444
15,0.2616908610343933,1.0084792987815971,89.88,74.55555555555556
16,0.24361700932979583,1.2178745162916182,90.24,71.62222222222222
17,0.24315354356765748,1.1656316997775704,90.65,74.04444444444445
18,0.23039994831085206,1.105863077516315,91.02,73.38888888888889
19,0.23202986867427827,1.32843152303735,91.01,72.28888888888889
20,0.22367598326206206,1.3297915330887666,91.22,74.13333333333334
