epoch,train_loss,val_loss,train_acc,val_acc
1,0.7509049189090728,1.1392991708552516,72.5,68.13333333333334
2,0.5410292915821076,1.1482153653851452,80.02,67.26666666666667
3,0.5026734645366668,1.171762441204654,81.37,69.23333333333333
4,0.46755687618255615,1.2639930030777016,81.64,68.53333333333333
5,0.4177801292657852,0.9821597804296632,83.95,72.23333333333333
6,0.4048863780975342,1.0591634693644527,84.15,72.58888888888889
7,0.3884235684156418,0.9471005688301392,84.89,72.2
8,0.363841468000412,1.0067389473650117,85.98,73.52222222222223
9,0.357823828625679,0.9710499030558838,86.14,69.65555555555555
10,0.34267272419929506,0.9188145660051402,86.78,73.21111111111111
